x,y,z
-1.668721907,0.435900966,-1
0.748795842,-0.430964867,1
-0.987099643,0.685791033,-1
0.017450219,-0.155747903,1
-0.99644494,-0.824641335,-1
1.999569984,-1.166641487,1
-1.590336153,-0.932697775,-1
-0.474444773,1.350949979,-1
-1.965753358,1.981527192,-1
-0.042051028,0.10234214,-1
1.387547913,1.886864433,1
2.193409392,1.468413952,1
1.534134966,0.698003386,1
-0.63957456,-0.707995711,-1
2.423653542,0.126187901,1
0.889288659,0.821084542,1
-1.693681697,-0.293862463,-1
-0.550465392,2.144523829,-1
-1.685821649,-1.799898147,-1
-0.6458001,-1.451311244,-1
-1.17505567,-1.041115592,-1
1.085662174,1.461424242,1
-1.292287634,1.991908071,-1
-0.120293428,-0.254580718,-1
-0.550143293,-0.140891373,-1
0.811703403,1.005865098,1
-0.399110108,0.52236432,-1
-0.914043303,0.208836316,-1
1.196052126,-0.392013885,1
-0.29909729,-0.175213331,-1
0.569109764,-1.961131867,1
-0.406073678,0.014818389,-1
1.506432637,-0.365050649,1
0.276265649,0.331710407,1
-0.195973163,-2.673923004,-1
0.50790617,-0.948437599,1
-1.363919215,2.37989343,-1
-1.570037513,-1.773363819,-1
-0.111964443,0.323156313,-1
0.120393622,1.877334023,1
-0.215974903,0.140492418,-1
-0.304959978,1.374171225,-1
0.671182604,-1.125718594,1
0.571314644,0.094516922,1
0.279429205,-0.386105914,1
-1.048715461,0.459600263,-1
-0.661952014,-0.439061836,-1
-1.384792883,-1.571823099,-1
0.647355069,-1.800537374,1
-1.247038666,-2.678906337,-1
-2.213492387,-1.415451913,-1
-0.948791688,0.214821888,-1
0.978239836,0.930923047,1
1.557593969,-2.079370921,1
0.367000241,-0.057733413,1
-0.235037536,-0.497373234,-1
-1.557953238,-0.665728459,-1
0.678936557,1.738156253,1
1.664490294,-0.645264302,1
0.995080271,0.588003387,1
-0.061134521,0.008855899,-1
-1.471999722,1.027915683,-1
0.175487188,0.045692124,1
-0.628292938,-1.251852022,-1
-1.392929188,2.53693271,-1
1.014339981,0.268586573,1
0.71430524,-1.180894815,1
0.789893962,-1.925426231,1
1.055130138,-0.487945038,1
1.630445786,1.764127953,1
1.603418275,-0.959162456,1
-1.160853417,1.232155653,-1
-1.610946226,-2.286282435,-1
-0.03382108,1.343899796,-1
0.403850156,0.111166323,1
-0.913356506,-0.33722403,-1
-1.058572146,0.571543774,-1
0.343063738,-1.018465557,1
1.237247868,-0.222733165,1
-1.829713244,1.124611675,-1
-0.048126917,-0.067767854,-1
-0.531848289,-1.432118943,-1
0.080893714,1.030166956,1
-1.9635818,0.579334513,-1
-0.57139797,-0.141092019,-1
2.136788499,-1.891717118,1
-0.143467999,0.639162781,-1
-0.382218193,-0.231126215,-1
1.089795347,-1.337578307,1
-2.161996059,-1.19998168,-1
-1.017272685,1.349863489,-1
